"filename", "language", "C++", "comment", "blank", "total"
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/Common.cpp", "C++", 6, 2, 4, 12
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/Common.h", "C++", 12, 0, 4, 16
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/FileManager/FileManager.cpp", "C++", 81, 21, 32, 134
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/FileManager/FileManager.h", "C++", 20, 19, 11, 50
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/Log/Log.cpp", "C++", 22, 4, 8, 34
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/Log/Log.h", "C++", 15, 5, 10, 30
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/MessageManager/Account.cpp", "C++", 31, 21, 8, 60
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/MessageManager/Account.h", "C++", 18, 2, 7, 27
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/MessageManager/MessagePool.cpp", "C++", 2, 0, 2, 4
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/MessageManager/MessagePool.h", "C++", 31, 8, 14, 53
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/Time/Time.cpp", "C++", 82, 38, 17, 137
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/Time/Time.h", "C++", 22, 11, 16, 49
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/TimerManager/TimerManager.cpp", "C++", 27, 9, 9, 45
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/TimerManager/TimerManager.h", "C++", 20, 4, 9, 33
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/WiFi/WiFi.cpp", "C++", 33, 12, 10, 55
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Common/WiFi/WiFi.h", "C++", 16, 2, 9, 27
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Battery/Battery.cpp", "C++", 20, 7, 7, 34
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Battery/Battery.h", "C++", 15, 0, 6, 21
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Display/Display.cpp", "C++", 7, 3, 4, 14
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Display/Display.h", "C++", 12, 4, 7, 23
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Display/TFT_backlight/TFT_backlight.cpp", "C++", 28, 13, 8, 49
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Display/TFT_backlight/TFT_backlight.h", "C++", 15, 3, 9, 27
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Drivers.cpp", "C++", 16, 2, 5, 23
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Drivers.h", "C++", 7, 1, 3, 11
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Encoder/Encoder.cpp", "C++", 33, 4, 11, 48
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/Encoder/Encoder.h", "C++", 16, 3, 9, 28
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/IO_Map/IO_map.h", "C++", 16, 4, 6, 26
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/SD_Card/SD_Card.cpp", "C++", 117, 25, 41, 183
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/SD_Card/SD_Card.h", "C++", 21, 1, 8, 30
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/System/System.cpp", "C++", 11, 0, 4, 15
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/Drivers/System/System.h", "C++", 22, 1, 7, 30
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Apps/Apps.cpp", "C++", 12, 4, 5, 21
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Apps/Apps.h", "C++", 17, 0, 7, 24
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Apps/HomeApps.cpp", "C++", 15, 10, 9, 34
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Apps/HomeApps.h", "C++", 24, 1, 11, 36
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Components/SideBar/SideBar.cpp", "C++", 83, 21, 14, 118
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Components/SideBar/SideBar.h", "C++", 17, 0, 8, 25
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Components/StatusBar/StatusBar.cpp", "C++", 106, 3, 15, 124
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Components/StatusBar/StatusBar.h", "C++", 14, 1, 8, 23
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/FBControllerPage/FBControllerPage.cpp", "C++", 159, 2, 24, 185
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/FBControllerPage/FBControllerPage.h", "C++", 10, 0, 5, 15
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/HomePage/HomePage.cpp", "C++", 29, 5, 11, 45
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/HomePage/HomePage.h", "C++", 12, 1, 6, 19
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/HomePage/view.cpp", "C++", 151, 46, 28, 225
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/HomePage/view.h", "C++", 5, 0, 3, 8
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/LaunchPage/LaunchPage.cpp", "C++", 29, 3, 9, 41
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/LaunchPage/LaunchPage.h", "C++", 9, 0, 4, 13
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/LoadingPage/LoadingPage.cpp", "C++", 38, 3, 9, 50
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/LoadingPage/LoadingPage.h", "C++", 8, 0, 4, 12
